time,frame,id,x,y,w,h,raw_prob,smoothed_prob,label
6.2495276927948,29,0,355,360,73,73,0.9699567556381226,0.9699567556381226,Interested
6.34463095664978,30,0,355,360,73,73,0.06341785937547684,0.5166873075067997,Interested
6.394294261932373,30,1,304,197,208,208,0.8830073475837708,0.8830073475837708,Interested
6.5031561851501465,31,0,355,360,73,73,0.12872672080993652,0.3873671119411786,Not Interested
6.566459655761719,31,1,304,197,208,208,0.06546125560998917,0.47423430159687996,Not Interested
6.631259202957153,31,2,295,89,220,220,0.5378745198249817,0.5378745198249817,Interested
6.732843637466431,32,0,355,360,73,73,0.262326180934906,0.3561068791896105,Not Interested
6.776787281036377,32,1,304,197,208,208,0.8200696706771851,0.5895127579569817,Interested
6.8398027420043945,32,2,295,89,220,220,0.662142276763916,0.6000083982944489,Interested
6.887809991836548,32,3,286,7,219,219,0.4783836305141449,0.4783836305141449,Not Interested
6.982733488082886,33,0,355,360,73,73,0.9985613226890564,0.48459776788949965,Not Interested
7.046635389328003,33,1,304,197,208,208,0.9998189806938171,0.6920893136411905,Interested
7.09461236000061,33,2,288,145,192,192,0.9976027607917786,0.7325398524602255,Interested
7.1423585414886475,33,3,286,7,219,219,0.9979937076568604,0.7381886690855026,Interested
7.2381579875946045,34,0,355,360,73,73,0.5327028632164001,0.4926152837773164,Not Interested
7.301735162734985,34,1,304,197,208,208,0.9914154410362244,0.7519545391201973,Interested
7.349339723587036,34,2,292,140,191,191,0.9993196725845337,0.7992348074913025,Interested
7.406153202056885,34,3,286,7,219,219,0.9948278069496155,0.8237350483735403,Interested
7.508270740509033,35,0,355,360,73,73,0.49738672375679016,0.4932969180600984,Not Interested
7.5719993114471436,35,1,304,197,208,208,0.9510061144828796,0.7851298016806444,Interested
7.619524002075195,35,2,303,161,173,173,0.9992735981941223,0.8392425656318665,Interested
7.6959404945373535,35,3,286,7,219,219,0.3210231065750122,0.6980570629239082,Interested
7.791274547576904,36,0,355,360,73,73,0.28768008947372437,0.4675948144868016,Not Interested
7.838557481765747,36,1,304,197,208,208,0.9978639483451843,0.815520394061293,Interested
7.902789831161499,36,2,306,183,170,170,0.9980794191360474,0.86571537454923,Interested
7.952695608139038,36,3,286,7,219,219,0.4287303388118744,0.6441917181015014,Interested
8.054334878921509,37,0,355,360,73,73,0.4997100234031677,0.40881397295743227,Not Interested
8.10839033126831,37,1,304,197,208,208,0.9997164607048035,0.8385449023917317,Interested
8.171357154846191,37,2,306,182,174,174,0.9993436932563782,0.8848051343645368,Interested
8.227453708648682,37,3,286,7,219,219,0.5519139170646667,0.6288120845953623,Interested
8.295417070388794,38,0,355,360,73,73,0.6291507482528687,0.47953058406710625,Not Interested
8.360095262527466,38,1,304,197,208,208,0.9999980926513672,0.8531687455251813,Interested
8.43504810333252,38,2,310,184,177,177,0.9999186992645264,0.8991943299770355,Interested
8.486576318740845,38,3,286,7,219,219,0.20949840545654297,0.5689101304326739,Interested
8.582326412200928,39,0,355,360,73,73,0.6388778686523438,0.5432994775474072,Interested
8.635315656661987,39,1,304,197,208,208,0.9999140501022339,0.9699753448367119,Interested
8.692424058914185,39,2,314,188,172,172,0.9997419714927673,0.9569277614355087,Interested
8.759905099868774,39,3,286,7,219,219,0.12409140169620514,0.5133077893406153,Interested
8.864460468292236,40,0,355,360,73,73,0.6667240262031555,0.5938492082059383,Interested
8.918160438537598,40,1,304,197,208,208,0.9998816251754761,0.9924518391489983,Interested
8.97400951385498,40,2,313,188,174,174,0.9992853999137878,0.9990706518292427,Interested
9.014271020889282,40,3,286,7,219,219,0.12698709964752197,0.4693832229822874,Not Interested
9.112181425094604,41,0,355,360,73,73,0.5397059321403503,0.5364922843873501,Interested
9.17128324508667,41,1,304,197,208,208,0.9999097585678101,0.9924631863832474,Interested
9.219245195388794,41,2,311,188,176,176,0.999817430973053,0.999347485601902,Interested
9.274811029434204,41,3,286,7,219,219,0.3244270384311676,0.3851873893290758,Not Interested
9.362382650375366,42,0,355,360,73,73,0.38848888874053955,0.5184655375778675,Interested
9.410008668899536,42,1,304,197,208,208,0.9996509552001953,0.9934926256537437,Interested
9.457619190216064,42,2,311,190,174,174,0.9998133778572083,0.9994091987609863,Interested
9.520534992218018,42,3,286,7,219,219,0.6624448299407959,0.34363951720297337,Not Interested
9.605811357498169,43,0,355,360,73,73,0.5604451894760132,0.5263478457927704,Interested
9.667292833328247,43,1,304,197,208,208,0.9999587535858154,0.9996117055416107,Interested
9.714512825012207,43,2,309,191,176,176,0.9999281167984009,0.9994910135865211,Interested
9.764525890350342,43,3,286,7,219,219,0.8420594334602356,0.4087690580636263,Not Interested
9.857186794281006,44,0,355,360,73,73,0.33080336451530457,0.5317382551729679,Interested
9.905123233795166,44,1,304,197,208,208,0.9999951124191284,0.9998781010508537,Interested
9.952432870864868,44,2,312,194,175,175,0.9999247789382935,0.9997216835618019,Interested
9.99927806854248,44,3,286,7,219,219,0.820368766784668,0.4577238615602255,Not Interested
10.097322940826416,45,0,355,360,73,73,0.9574052691459656,0.5889501608908176,Interested
10.14511513710022,45,1,304,197,208,208,0.9999922513961792,0.9999125748872757,Interested
10.208933115005493,45,2,311,195,177,177,0.9810325503349304,0.9974327906966209,Interested
10.272241830825806,45,3,286,7,219,219,0.9793601036071777,0.5111546348780394,Interested
10.344151496887207,46,0,355,360,73,73,0.9085767865180969,0.6238784156739712,Interested
10.391137838363647,46,1,304,197,208,208,0.9998862743377686,0.9998985975980759,Interested
10.454697132110596,46,2,311,198,180,180,0.9965068697929382,0.9970063120126724,Interested
